eccentricity,true_PdE,true_WdE,fit_decay_PdE,fit_prec_wdE,fit_dp_PdE,fit_dp_wdE,logZ_decay,logZ_prec,logZ_dp
0.0001,-1e-10,1.0000000000000002e-07,-2.006776262722764e-10,3.0444054523055624e-07,-2.0098237857493253e-10,1.538472622392085e-07,-1160.0489412944069,-5245.6257527516045,-1156.2150626946957
0.0001,-1e-10,9.999999999999997e-07,-1.961208412129532e-10,-1.9289596537464577e-06,-1.9760006615526609e-10,1.6842809845788799e-06,-1232.5679003428656,-5158.311658192962,-1226.9816679039395
0.0001,-1e-10,9.999999999999997e-06,-2.0265776533076148e-10,-1.4016816490526824e-05,-2.0373125237971432e-10,-3.475780873857584e-05,-1241.4427258740961,-5384.359506812654,-1236.7938685972103
0.0001,-1e-10,9.999999999999999e-05,-1.9788154910185041e-10,-0.0003147460544911014,-2.0718086571085764e-10,-0.000225405016666476,-1207.5439788352776,-5034.2518320411355,-1188.4623123020347
0.0001,-1e-09,0.0,-2.0126208124178648e-09,nan,nan,nan,-1223.979932926071,nan,nan
0.0001,-1e-09,1.0000000000000002e-08,-2.014823160581593e-09,nan,nan,nan,-1223.979932926071,nan,nan
0.0001,-1e-08,0.0,nan,nan,nan,nan,nan,nan,nan
0.0001,-1e-08,1.0000000000000002e-08,nan,nan,nan,nan,nan,nan,nan
0.001,-0.0,0.0,-1.951267339162267e-12,-9.874276018511225e-09,-2.649906543947582e-12,-1.1334516661210158e-08,-1206.1344159909122,-1198.5340077188366,-1202.8411113298562
0.001,-0.0,9.999999999999999e-09,5.106703801636046e-12,-4.010688609574105e-09,4.948923605211088e-12,7.597209859619991e-10,-1206.1344159909122,-1198.5340077188366,-1202.8411113298562
0.001,-0.0,1e-07,1.6884891835883648e-13,-2.3238531382914835e-07,4.931778912920036e-13,1.8916664423134402e-07,-1126.4023213117719,-1119.1426122789346,-1120.6094017685052
0.001,-0.0,1e-06,2.411955713651229e-15,-1.0244755471876885e-06,1.0972344562992642e-12,-9.7710417392228e-07,-1152.8528736170758,-1144.7984361248145,-1147.8550792654755
0.001,-0.0,1e-05,-7.140580346750946e-13,-8.101117897851319e-05,-3.4659581717409917e-12,-6.676459208711207e-05,-1246.343272524612,-1235.7702341095921,-1238.2951143775872
0.001,-0.0,9.999999999999998e-05,-1.4048652301035262e-12,-0.0017928142732375838,nan,nan,-2108.783940658939,-1426.7448964343691,nan
0.001,-1e-12,0.0,-8.681831505233071e-13,-1.796203875363829e-08,-6.348485532128449e-13,1.8975255890307346e-08,-1202.6567962146312,-1195.5622581221246,-1201.2202091467375
0.001,-1e-12,9.999999999999999e-09,-4.504840435446266e-12,1.4775991288914911e-09,-4.726750357241565e-12,1.643390092459318e-08,-1202.6567962146312,-1195.5622581221246,-1201.2202091467375
0.001,-1e-12,1e-07,-9.54524995112476e-12,-1.0862403280110348e-07,-9.924234179075198e-12,1.0785795353117701e-07,-1182.2515523786224,-1184.30416694623,-1177.1455650454354
0.001,-1e-12,1e-06,-3.4844989091206806e-12,3.5550215870259077e-07,-4.483534950700965e-12,-4.226936728476226e-08,-1198.8844541911888,-1193.1602699394418,-1192.8398694368664
0.001,-1e-12,1e-05,-1.8628132855842833e-12,-8.49528534560394e-05,-4.663720611211085e-12,-8.119616171433646e-05,-1169.8283383177913,-1157.6148199970157,-1158.3784512710276
0.001,-1e-12,9.999999999999998e-05,2.888809098380629e-13,-0.002060499780263669,2.3200250410914956e-12,-0.002025971463457974,-2241.194851765005,-1442.8824937021682,-1449.5553489275042
0.001,-1e-11,0.0,-2.141544536917235e-11,-6.025420179246774e-09,-2.2495577730920777e-11,1.205001301280359e-08,-1196.1700678919606,-1239.2394133443,-1191.4832755881075
0.001,-1e-11,9.999999999999999e-09,-1.0555684022146084e-11,3.054164807978188e-08,-1.105624472677716e-11,1.6849836397824055e-08,-1196.1700678919606,-1239.2394133443,-1191.4832755881075
0.001,-1e-11,1e-07,-2.355029174004125e-11,1.3053601964963484e-07,-2.2501100797451135e-11,-5.4517149580768586e-08,-1131.0672618039491,-1176.9016997992708,-1125.1562060483218
0.001,-1e-11,1e-06,-2.2408554354823527e-11,2.122107409159523e-06,-2.2131583136263784e-11,2.326055270306362e-06,-1107.066097068856,-1149.0884432215682,-1102.265887953876
0.001,-1e-11,1e-05,-1.87902481504326e-11,-9.152047263139948e-05,-2.297893413279188e-11,-8.335611813340351e-05,-1182.8122400462298,-1202.6190532035719,-1172.4869988255327
0.001,-1e-11,9.999999999999998e-05,-1.5587895174533637e-11,-0.001902100649537242,-1.335946032619135e-11,-0.0019180739107022083,-2109.298396418115,-1415.9083985990387,-1406.61801610248
0.001,-1e-10,0.0,-2.0224508943639681e-10,-9.50506814078716e-09,-2.0243346546947434e-10,-2.028664225533476e-08,-1196.2962043311206,-5327.131190623802,-1190.599750991238
0.001,-1e-10,9.999999999999999e-09,-2.0547498390287674e-10,-2.0040225489556332e-08,-2.0419906484842582e-10,7.238638375432398e-09,-1196.2962043311206,-5327.131190623802,-1190.599750991238
